Title,Year,Rating
Kari-gurashi no Arietti,2010,7.6
A Star Is Born,2018,7.6
True Grit,2010,7.6
Hævnen,2010,7.6
Despicable Me,2010,7.6
50/50,2011,7.6
Kick-Ass,2010,7.6
Celda 211,2009,7.6
Moneyball,2011,7.6
La piel que habito,2011,7.6
Zombieland,2009,7.6
Die Welle,2008,7.6
Sherlock Holmes,2009,7.6
The Blind Side,2009,7.6
The Visitor,2007,7.6
Seven Pounds,2008,7.6
Eastern Promises,2007,7.6
Stardust,2007,7.6
The Secret of Kells,2009,7.6
Inside Man,2006,7.6
Gone Baby Gone,2007,7.6
La Vie En Rose,2007,7.6
Huo Yuan Jia,2006,7.6
The Illusionist,2006,7.6
Dead Man's Shoes,2004,7.6
Harry Potter and the Half-Blood Prince,2009,7.6
300,2006,7.6
Match Point,2005,7.6
Watchmen,2009,7.6
Lord of War,2005,7.6
Saw,2004,7.6
"Synecdoche, New York",2008,7.6
Mysterious Skin,2004,7.6
Jeux d'enfants,2003,7.6
Un long dimanche de fiançailles,2004,7.6
The Station Agent,2003,7.6
21 Grams,2003,7.6
Boksuneun naui geot,2002,7.6
Finding Neverland,2004,7.6
25th Hour,2002,7.6
The Butterfly Effect,2004,7.6
28 Days Later...,2002,7.6
Batoru rowaiaru,2000,7.6
The Royal Tenenbaums,2001,7.6
Y tu mamá también,2001,7.6
Harry Potter and the Sorcerer's Stone,2001,7.6
The Others,2001,7.6
Blow,2001,7.6
Enemy at the Gates,2001,7.6
Minority Report,2002,7.6
The Hurricane,1999,7.6
American Psycho,2000,7.6
Lola rennt,1998,7.6
The Thin Red Line,1998,7.6
Mulan,1998,7.6
Fear and Loathing in Las Vegas,1998,7.6
Funny Games,1997,7.6
Dark City,1998,7.6
Sleepers,1996,7.6
Lost Highway,1997,7.6
Sense and Sensibility,1995,7.6
Die Hard: With a Vengeance,1995,7.6
Dead Man,1995,7.6
The Bridges of Madison County,1995,7.6
Apollo 13,PG,7.6
Trois couleurs: Blanc,1994,7.6
Falling Down,1993,7.6
Dazed and Confused,1993,7.6
My Cousin Vinny,1992,7.6
Omohide poro poro,1991,7.6
Delicatessen,1991,7.6
Home Alone,1990,7.6
The Godfather: Part III,1990,7.6
When Harry Met Sally...,1989,7.6
The Little Mermaid,1989,7.6
The Naked Gun: From the Files of Police Squad!,1988,7.6
"Planes, Trains & Automobiles",1987,7.6
Lethal Weapon,1987,7.6
Blood Simple,1984,7.6
On Golden Pond,1981,7.6
Mad Max 2,1981,7.6
The Warriors,1979,7.6
The Muppet Movie,1979,7.6
Escape from Alcatraz,1979,7.6
Watership Down,1978,7.6
Midnight Express,1978,7.6
Close Encounters of the Third Kind,1977,7.6
The Long Goodbye,1973,7.6
Giù la testa,1971,7.6
Kelly's Heroes,1970,7.6
The Jungle Book,1967,7.6
Blowup,1966,7.6
A Hard Day's Night,1964,7.6
Breakfast at Tiffany's,1961,7.6
Giant,1956,7.6
From Here to Eternity,1953,7.6
Lifeboat,1944,7.6
The 39 Steps,1935,7.6
